objectid,filename,title,creator,compiler,illustrator,format,edition,publisher,description,exlibris,date,subject,callnumber,iucat,bindingdesigner
cynic_book,cynic_book.jpg,The cynic's word book,"Ambrose, Bierce",,,image/jpeg,,"Doubleday, Page & company","Bound in olive green cloth, this binding has red lettering and a beautiful black and red floral motif on the front board, with black lettering and small red leaf designs on the spine. The top edge of the pages is gilded, and the remaining edges are untrimmed. Unfortunately, it appears that there is no known designer for this binding.",,1906,United States ; 20th century ; Painted designs ; Floral designs ; dictionaries,PS1097.C8 1906,https://iucat.iu.edu/lilly/1433692,Unknown
bunch_cherries,bunch_cherries.jpg,A bunch of cherries,L. T. Meade,,,image/jpeg,,E. Nistler ; E. P. Dutton,"Bound in brown cloth, this binding has a beautiful cherry design to reflect the title of the novel. The cherry design is in red and black, with gilt used for detailing the highlights of the image. Title on black in gilt on both the front board and spine. Unfortunately, it appears that there is no known designer for this binding.",,1898,England ; 20th century ; Painted designs ; Gold blocking ; Girl's literature ; Juvenile literature,PZ7.S646 B9,https://iucat.iu.edu/lilly/1360873,Unknown
love_way,love_way.jpg,Love finds the way,Paul Leicester Ford,,Harrison Fisher,image/jpeg,,"Dodd, Mead, & Co. ","Bound in green cloth, this stunning binding has a large floral design stamped in green and white, with title and lettering in gilt on front board and spine. This binding was designed by Margaret Armstrong, a well-known designer of the day. Her signature is visible in the lower right-hand corner of her design.  ",,1904,United States ; 20th century ; Painted designs ; Fiction ; Gold blocking ; Romance,Z274.A2 M36 no. 82,https://iucat.iu.edu/lilly/7433608,Margaret Armstrong
mouse_life,mouse_life.jpg,The life and perambulations of a mouse,Dorothy Kilner,,,image/jpeg,,Grant and Griffith,"Bound in grey cloth, this binding has floral designs stamped in black on front board and spine. Title in gilt on spine. The designer of this binding was Burn & Company, a business that designed bindings from the late 18th century to the end of the 19th. Cloth bindings like this one were made part of the business in the 1850s.[^1] [^1]: “Burn and Company (London): Organisations: Ra Collection: Royal Academy of Arts.” Royal Academy of Arts. https://www.royalacademy.org.uk/art-artists/organisation/burn-and-company-london. ",From the Libray of Elizabeth Ball,1850,England ; 20th century ; Painted designs ; Gold blocking ; Fiction ; Juvenile literature,PR4839.K34 L72 1850,https://iucat.iu.edu/lilly/1404149,Burn & Company
feo_romance,feo_romance.jpg,Féo : a romance,Max Pemberton,,,image/jpeg,,"Dodd, Mead, & Co. ","Bound in red cloth, this beautiful binding has symmetrical floral designs stamped in grey and white, with title and lettering stamped in gilt on both front board and spine. This binding was designed by Thomas Watson Ball, a well-known binding designer from this period.  ",,1900,United States ; 20th century ; Painted designs ; Gold blocking ; Fiction ; Romance,Z274.A2 M36 no. 208,https://iucat.iu.edu/lilly/16569065,Thomas Watson Ball
abandoned_farmer,abandoned_farmer.jpg,The abandoned farmer,Sydney Herman Preston,,,image/jpeg,,Charles Scribner's Sons,"Bound in grey cloth, this pretty binding has a design of a small cottage stamped in pink, green, black, and white on the front board, with images of fruit on front board and spine. This is a binding that represents pieces of the story itself, as in this novel a man and his family end up moving to a small house in the countryside. This binding was designed by Evelyn W. Clark. Her initials are visible in the bottom left corner of her design.  ",,1901,Woman binder ; United States ; 20th century ; Painted designs ; Gold blocking ; Juvenile literature ; Fiction,Z274.A2 M36 no. 214,https://iucat.iu.edu/lilly/16563674,Evelyn W. Clark
picnic_pyramid,picnic_pyramid.jpg,"A picnic on a pyramid, or, travels in a magic automobile",Marian V. Loud,,,image/jpeg,,Saalfield Publishing Company,"Bound in light blue cloth, this fun binding depicts the image of a man, woman, and two children sailing over a pyramid in a flying car. The design itself is stamped in red, blue, and yellow. Unfortunately, it appears that there is no known designer for this binding.   ",,1904,United States ; 20th century ; Juvenile literature ; Fiction ; Adventure ; Fairies,Z274.A2 M36 no. 159,https://iucat.iu.edu/lilly/16566064,Unknown
fish_rev_en,fish_rev_en.jpg,Fly-rods and fly-tackle : suggestions as to their manufacture and use,Henry P. Wells,,,image/jpeg,Revised and enlarged edition.,Harper,"Bound in tan cloth, this interesting binding has illustrations of different fishing lures stamped in brown, white, yellow, and red on front board, with title and lettering in red on spine. Unfortunately, it appears that there is no known designer for this binding.   ",,1901,United States ; 20th century ; Fishing ; Painted designs ; Gold blocking,Z274.A2 M36 no. 291,https://iucat.iu.edu/lilly/16574688,Unknown
fish_fly,fish_fly.jpg,Fly-rods and fly-tackle : suggestions as to their manufacture and use,Henry P. Wells,,,image/jpeg,,Harper,"Bound in green cloth, this binding depicts a fish caught in a net. The fish is stamped in black, with its spots, the netting, and other environmental designs in gilt. Unfortunately, it appears that there is no known designer for this binding.   ",,1885,United States ; 19th century ; Fishing ; Painted designs ; Gold blocking,Z274.A2 M36 no. 290,https://iucat.iu.edu/lilly/16569073,Unknown
trees_winter,trees_winter.jpg,"Studies of trees in winter; a description of the deciduous trees of northeastern America,",Annie Oakes Huntington,,,image/jpeg,,Dana Estes and Co.,"Bound in red cloth, this gorgeous binding has a design of a cottage in the forest, dusted with snow. The design is stamped in black and white on front board and spine. This binding is part of the new trends with publisher’s bindings that reflect the actual contents of the book they’re designing. Adrian Iorio is the artist behind this binding, and his signature is visible on the very bottom of his illustration in the snow.  ",,1910,United States ; 20th century ; Painted designs ; Trees,Z274.A2 M36 no. 121,https://iucat.iu.edu/lilly/16544154,Adrian Iorio
cherry_street,cherry_street.jpg,The house on cherry street,Amelia E. Barr,,,image/jpeg,,"Dodd, Mead, & Co. ","Bound in tan cloth, this binding shows the façade of a house in orange, grey, and dark green on the front board, with title and lettering in dark green on front board and spine. The spine of this design also includes a reverse silhouette of a cupid using a door knocker. Unfortunately, it appears that there is no known designer for this binding.   ",,1909,United States ; 20th century ; Painted designs ; Fiction,PS1072 .H8,https://iucat.iu.edu/lilly/19287261,Unknown
song_note,song_note.jpg,A song of a single note : a love story,Amelia E. Barr,,Anna Whelan Betts.,image/jpeg,First edition.,"Dodd, Mead, & Co. ","Bound in light green cloth, this binding has the illustration of a garland of flowers stamped in green and white surrounding a central design in gilt with arrows and a torch in white underneath, on front board. Title and lettering in gilt on spine, with similar white and green floral garlands. Unsigned, but likely designed by Thomas Watson Ball.  ",First edition.,1902,United States ; 20th century ; Gold blocking ; Floral designs ; Painted designs ; Romance,PS1072 .S586 1902,https://iucat.iu.edu/lilly/19286700,Thomas Watson Ball
road_arkady,road_arkady.jpg,On the road to Arkady,Mabel Nelson Thurston,,,image/jpeg,,Fleming H. Revell Company,"Bound in tan cloth, the front board of this binding has a design of a forest landscape stamped in dark green and brown, with creek on image stamped in gilt. Title and lettering in gilt as well. Illustration of a sign post stamped in green and black with title and lettering in gilt on spine. Binding designed by Samuel M. Palmer, with his signature hidden on the bridge near the center of the illustration",,1903,United States ; 20th century ; Painted designs ; Gold blocking ; Fiction,Z274.A2 M36 no. 270,https://iucat.iu.edu/lilly/16569708,Samuel M. Palmer
captain_john,captain_john.jpg,"Captain John Smith (1579-1631), sometime governor of Virginia and admiral of New England : a study of his life and writings",Charles Dudley Warner,,,image/jpeg,,Henry Holt and Co.,,,1881,United States ; 19th century ; Painted designs ; Gold blocking ; Explorers ; Governers,Z274.A2 M36 no. 286,https://iucat.iu.edu/lilly/16570067,Unknown 
